iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
13,10,-1,74,37,37,3.876,3.612,7,8
13,11,1,155,78,77,8.065,7.914,6,4
13,12,-1,170,85,85,9.008,9.187,3,5
13,13,0,88,44,44,4.789,4.393,7,7
13,14,1,77,39,38,4.475,4.377,8,7
13,15,1,81,41,40,4.109,3.798,8,7
13,16,1,149,75,74,7.794,7.848,4,3
13,17,1,82,41,41,4.405,4.513,7,6
13,18,-1,200,100,100,10.402,10.547,1,3
13,19,1,155,78,77,8.479,8.137,7,0
13,20,1,63,32,31,3.278,2.916,8,7
14,1,0,98,49,49,5.432,5.236,6,6
14,2,1,215,108,107,11.006,10.479,5,2
14,3,1,207,104,103,11.523,10.945,5,2
14,4,0,50,25,25,2.497,2.2,8,8
14,5,0,50,25,25,2.853,2.799,8,8
14,6,0,50,25,25,2.612,2.482,8,8
14,7,1,63,32,31,3.027,2.972,8,7
14,8,0,99,50,49,5.35,5.435,7,7
14,9,1,217,109,108,11.797,11.263,6,3
14,10,1,61,31,30,2.916,2.75,8,7
14,11,0,50,25,25,2.631,2.527,8,8
14,12,0,97,49,48,4.814,4.884,6,6
14,13,1,224,112,112,11.94,11.445,4,2
14,14,1,121,61,60,6.494,6.248,7,6
14,15,0,50,25,25,2.505,2.205,8,8
14,16,-1,103,52,51,5.656,5.431,6,7
14,17,0,50,25,25,2.359,2.252,8,8
14,18,1,103,52,51,5.781,5.317,7,5
14,19,-1,160,80,80,7.955,8.029,1,2
14,20,0,79,40,39,4.453,4.23,7,7
15,1,0,50,25,25,2.341,2.258,8,8
15,2,0,50,25,25,2.31,2.29,8,8
15,3,0,68,34,34,4.067,3.696,7,7
15,4,-1,58,29,29,2.781,2.605,7,8
15,5,-1,154,77,77,8.351,8.498,3,8
15,6,0,94,47,47,5.27,5.032,7,7
15,7,0,50,25,25,3.576,3.242,8,8
15,8,1,293,147,146,16.639,16.495,2,1
15,9,-1,78,39,39,3.847,3.816,7,8
15,10,1,161,81,80,8.844,8.489,6,4
15,11,0,80,40,40,4.093,3.742,7,7
15,12,0,92,46,46,5.113,4.977,7,7
15,13,1,63,32,31,2.991,3.068,8,6
15,14,0,50,25,25,3.158,3.068,8,8
15,15,1,69,35,34,3.293,3.21,8,7
15,16,1,59,30,29,3.698,3.391,8,7
15,17,0,50,25,25,2.348,2.254,8,8
15,18,1,177,89,88,9.072,8.892,7,1
15,19,1,65,33,32,3.717,3.688,8,6
15,20,1,59,30,29,2.715,2.841,8,7
16,1,1,79,40,39,3.762,3.656,8,6
16,2,1,135,68,67,6.412,5.728,7,5
16,3,1,86,43,43,4.641,4.281,7,4
16,4,1,155,78,77,7.131,7.125,8,3
16,5,0,61,31,30,2.727,2.89,7,7
16,6,0,50,25,25,2.539,2.417,8,8
16,7,1,167,84,83,7.347,7.205,3,1
16,8,-1,192,96,96,8.686,8.354,0,3
16,9,-1,139,70,69,6.565,6.471,3,7
16,10,-1,236,118,118,11.127,11.045,0,4
16,11,0,126,63,63,5.573,5.154,6,6
16,12,0,50,25,25,2.575,2.476,8,8
16,13,1,57,29,28,2.406,2.25,8,7
16,14,0,98,49,49,4.837,4.716,7,7
16,15,0,50,25,25,2.039,2.04,8,8
16,16,0,50,25,25,2.279,2.161,8,8
16,17,1,211,106,105,10.125,10.116,3,2
16,18,1,83,42,41,3.8,3.93,7,6
16,19,-1,130,65,65,5.676,5.715,0,6
16,20,0,50,25,25,2.749,2.603,8,8
17,1,0,50,25,25,3.039,2.577,8,8
17,2,0,50,25,25,2.149,2.006,8,8
17,3,1,67,34,33,3.266,3.133,8,7
17,4,0,50,25,25,2.268,2.389,8,8
17,5,-1,128,64,64,5.723,5.689,3,4
17,6,-1,124,62,62,6.02,5.558,6,7
17,7,1,63,32,31,2.717,2.584,8,7
17,8,-1,190,95,95,8.187,8.535,3,5
17,9,0,50,25,25,2.506,2.656,8,8
17,10,-1,126,63,63,5.188,5.15,4,5
17,11,0,50,25,25,2.706,2.581,8,8
17,12,0,90,45,45,3.905,3.669,7,7
17,13,-1,222,111,111,10.388,10.12,1,5
17,14,1,89,45,44,3.601,3.493,8,6
17,15,1,67,34,33,3.42,3.447,8,7
17,16,1,61,31,30,2.482,2.38,8,7
17,17,0,50,25,25,2.425,2.34,8,8
17,18,1,81,41,40,3.599,3.437,7,6
17,19,0,50,25,25,2.211,1.923,8,8
17,20,1,222,111,111,10.474,9.933,5,2
18,1,0,50,25,25,2.177,2.196,8,8
18,2,1,163,82,81,7.31,7.499,7,3
18,3,0,50,25,25,1.944,1.882,8,8
18,4,-1,208,104,104,9.37,9.511,1,3
18,5,0,50,25,25,2.239,1.968,8,8
18,6,0,50,25,25,2.016,1.936,8,8
18,7,0,50,25,25,2.656,2.584,8,8
18,8,1,173,87,86,7.875,7.59,5,3
18,9,-1,178,89,89,7.843,7.957,0,5
18,10,0,113,57,56,5.289,5.354,6,6
18,11,1,194,97,97,8.874,8.363,5,2
18,12,0,50,25,25,2.02,1.965,8,8
18,13,0,50,25,25,2.771,2.574,8,8
18,14,0,50,25,25,1.984,1.872,8,8
18,15,1,168,84,84,7.364,7.405,6,3
18,16,0,140,70,70,6.628,6.273,6,6
18,17,1,127,64,63,6.027,5.968,7,6
18,18,0,50,25,25,2.128,1.993,8,8
18,19,0,115,58,57,5.469,5.321,7,7
18,20,1,175,88,87,7.757,7.626,6,4
19,1,0,87,44,43,3.913,4.222,7,7
