iteration,game_number,player,count
27,11,-1,40
27,11,1,41
27,12,-1,102
27,12,1,103
27,13,-1,120
27,13,1,120
27,14,-1,104
27,14,1,104
27,15,-1,107
27,15,1,108
27,16,-1,45
27,16,1,46
27,17,-1,127
27,17,1,127
27,18,-1,95
27,18,1,96
27,19,-1,70
27,19,1,71
27,20,-1,97
27,20,1,98
28,1,-1,70
28,1,1,70
28,2,-1,41
28,2,1,41
28,3,-1,36
28,3,1,36
28,4,-1,62
28,4,1,63
28,5,-1,53
28,5,1,54
28,6,-1,25
28,6,1,25
28,7,-1,69
28,7,1,70
28,8,-1,25
28,8,1,25
28,9,-1,25
28,9,1,25
28,10,-1,47
28,10,1,47
28,11,-1,42
28,11,1,43
28,12,-1,41
28,12,1,42
28,13,-1,25
28,13,1,25
28,14,-1,70
28,14,1,71
28,15,-1,25
28,15,1,25
28,16,-1,72
28,16,1,72
28,17,-1,105
28,17,1,106
28,18,-1,38
28,18,1,39
28,19,-1,76
28,19,1,77
28,20,-1,34
28,20,1,35
29,1,-1,113
29,1,1,113
29,2,-1,86
29,2,1,86
29,3,-1,25
29,3,1,25
29,4,-1,71
29,4,1,72
29,5,-1,48
29,5,1,49
29,6,-1,114
29,6,1,115
29,7,-1,97
29,7,1,98
29,8,-1,25
29,8,1,25
29,9,-1,25
29,9,1,25
29,10,-1,59
29,10,1,60
29,11,-1,51
29,11,1,51
29,12,-1,25
29,12,1,25
29,13,-1,28
29,13,1,29
29,14,-1,25
29,14,1,25
29,15,-1,51
29,15,1,51
29,16,-1,25
29,16,1,25
29,17,-1,25
29,17,1,25
29,18,-1,33
29,18,1,34
29,19,-1,55
29,19,1,56
29,20,-1,104
29,20,1,105
30,1,-1,25
30,1,1,25
30,2,-1,30
30,2,1,31
30,3,-1,50
30,3,1,51
30,4,-1,40
30,4,1,41
30,5,-1,40
30,5,1,41
30,6,-1,64
30,6,1,65
30,7,-1,41
30,7,1,42
30,8,-1,31
30,8,1,32
30,9,-1,25
30,9,1,25
30,10,-1,25
30,10,1,25
30,11,-1,25
30,11,1,25
30,12,-1,37
30,12,1,37
30,13,-1,31
30,13,1,32
30,14,-1,25
30,14,1,25
30,15,-1,33
30,15,1,33
30,16,-1,64
30,16,1,64
30,17,-1,30
30,17,1,31
30,18,-1,56
30,18,1,56
30,19,-1,30
30,19,1,31
30,20,-1,58
30,20,1,59
